|,|__name,|__cost,|__colors__001,|__colors__002,|__colors__003
Michigan,Wayne State University,42181,,,
Michigan,West Shore Community College,8670,,,
Michigan,Western Michigan University,30811,,,
Michigan,Yeshiva Gedolah of Greater Detroit,13600,,,
Minnesota,Academy College,18252,,,
Minnesota,Alexandria Technical & Community College,6213,,,
Minnesota,Anoka Technical College,6267,,,
Minnesota,Anoka-Ramsey Community College,5682,,,
Minnesota,Augsburg University,60360,,,
Minnesota,Bemidji State University,20205,,,
Minnesota,Bethany Global University,25630,,,
Minnesota,Bethany Lutheran College,38280,,,
Minnesota,Bethel University,55020,,,
Minnesota,Capella University,14436,,,
Minnesota,Carleton College,82167,,,
Minnesota,Central Lakes College-Brainerd,6209,,,
Minnesota,Century College,6182,,,
Minnesota,College of Saint Benedict,66044,,,
Minnesota,Concordia College at Moorhead,41900,,,
Minnesota,Concordia University-Saint Paul,35800,,,
Minnesota,Crown College,40630,,,
Minnesota,Dakota County Technical College,6419,,,
Minnesota,Dunwoody College of Technology,40318,,,
Minnesota,Fond du Lac Tribal and Community College,14923,,,
Minnesota,Gustavus Adolphus College,65600,,,
Minnesota,Hamline University,60341,,,
Minnesota,Hennepin Technical College,5881,,,
Minnesota,Herzing University-Minneapolis,13420,,,
Minnesota,Inver Hills Community College,6007,,,
Minnesota,Lake Superior College,5786,,,
Minnesota,Leech Lake Tribal College,4148,,,
Minnesota,Macalester College,80385,,,
Minnesota,Martin Luther College,25050,,,
Minnesota,Mayo Clinic College of Medicine and Science,3257,,,
Minnesota,Metropolitan State University,9780,,,
Minnesota,Minneapolis College of Art and Design,54734,,,
Minnesota,Minneapolis Community and Technical College,6128,,,
Minnesota,Minnesota North College,15368,,,
Minnesota,Minnesota State College Southeast,7820,,,
Minnesota,Minnesota State Community and Technical College,14300,,,
Minnesota,Minnesota State University Moorhead,20930,,,
Minnesota,Minnesota State University-Mankato,30084,,,
Minnesota,Minnesota West Community and Technical College,18832,,,
Minnesota,Normandale Community College,6321,,,
Minnesota,North Central University,38840,,,
Minnesota,North Hennepin Community College,5050,,,
Minnesota,Northland Community and Technical College,6262,,,
Minnesota,Northwest Technical College,6246,,,
Minnesota,Northwestern Health Sciences University,12015,,,
Minnesota,Oak Hills Christian College,28690,,,
Minnesota,Pine Technical & Community College,4681,,,
Minnesota,Rasmussen University-Minnesota,10899,,,
Minnesota,Red Lake Nation College,6640,,,
Minnesota,Ridgewater College,6109,,,
Minnesota,Riverland Community College,6250,,,
Minnesota,Rochester Community and Technical College,6359,,,
Minnesota,Saint Cloud State University,19747,,,
Minnesota,Saint Johns University,66072,,,
Minnesota,Saint Mary's University of Minnesota,53880,,,
Minnesota,Saint Paul College,6318,,,
Minnesota,South Central College,6146,,,
Minnesota,Southwest Minnesota State University,20970,,,
Minnesota,St Catherine University,61394,,,
Minnesota,St Cloud Technical and Community College,4957,,,
Minnesota,St Olaf College,69970,,,
Minnesota,The College of Saint Scholastica,51834,,,
Minnesota,University of Minnesota-Crookston,23520,,,
Minnesota,University of Minnesota-Duluth,29968,,,
Minnesota,University of Minnesota-Morris,26512,,,
Minnesota,University of Minnesota-Rochester,27390,,,
Minnesota,University of Minnesota-Twin Cities,49430,,,
Minnesota,University of Northwestern-St Paul,47978,,,
Minnesota,University of St Thomas,65216,,,
Minnesota,Walden University,12498,,,
Minnesota,White Earth Tribal and Community College,12425,,,
Minnesota,Winona State University,27154,,,
Mississippi,Alcorn State University,18804,,,
Mississippi,Belhaven University,38595,,,
Mississippi,Blue Mountain Christian University,28320,,,
Mississippi,Coahoma Community College,8410,,,
Mississippi,Copiah-Lincoln Community College,10000,,,
Mississippi,Delta State University,17032,,,
Mississippi,East Central Community College,9859,,,
Mississippi,East Mississippi Community College,12290,,,
Mississippi,Hinds Community College,12575,,,
Mississippi,Holmes Community College,9890,,,
Mississippi,Itawamba Community College,10545,,,
Mississippi,Jackson State University,21892,,,
Mississippi,Jones County Junior College,11114,,,
Mississippi,Meridian Community College,11512,,,
Mississippi,Millsaps College,58025,,,
Mississippi,Mississippi College,34398,,,
Mississippi,Mississippi Delta Community College,10940,,,
Mississippi,Mississippi Gulf Coast Community College,12750,,,
Mississippi,Mississippi State University,38873,,,
Mississippi,Mississippi University for Women,16479,,,
Mississippi,Mississippi Valley State University,16024,,,
Mississippi,Northeast Mississippi Community College,12780,,,
Mississippi,Northwest Mississippi Community College,10510,,,
Mississippi,Pearl River Community College,10650,,,
Mississippi,Rust College,19820,,,
Mississippi,Southeastern Baptist College,11825,,,
Mississippi,Southwest Mississippi Community College,11110,,,
Mississippi,Tougaloo College,18942,,,
Mississippi,University of Mississippi,39020,,,
Mississippi,University of Southern Mississippi,23282,,,
Mississippi,Wesley Biblical Seminary,8000,,,
Mississippi,William Carey University,22284,,,
Missouri,Aviation Institute of Maintenance-Kansas City,16757,,,
Missouri,Avila University,47737,,,
Missouri,Bolivar Technical College,27125,,,
Missouri,Bryan University,15868,,,
Missouri,Calvary University,19996,,,
Missouri,Central Christian College of the Bible,20600,,,
Missouri,Central Methodist University-College of Graduate and Extended Studies,6960,,,
Missouri,Central Methodist University-College of Liberal Arts and Sciences,36050,,,
Missouri,Chamberlain University-Missouri,19686,,,
Missouri,City Vision University,6400,,,
Missouri,College of the Ozarks,29790,,,
Missouri,Columbia College,33200,,,
Missouri,Conception Seminary College,40198,,,
Missouri,Cottey College,35659,,,
Missouri,Cox College,15599,,,
Missouri,Crowder College,16668,,,
Missouri,Culver-Stockton College,39420,,,
Missouri,Drury University,45721,,,
Missouri,Drury University-College of Continuing Professional Studies,18276,,,
Missouri,East Central College,6984,,,
Missouri,Evangel University,36368,,,
Missouri,Evangel University-College of Online Learning,8025,,,
Missouri,Evangel University-James River Assembly of God Church,24920,,,
Missouri,Fontbonne University,40208,,,
Missouri,Four Rivers Career Center,18345,,,
Missouri,Hannibal-LaGrange University,36280,,,
Missouri,Harris-Stowe State University,21158,,,
Missouri,Jefferson College,14446,,,
Missouri,Kansas City Art Institute,56450,,,
Missouri,Lincoln University,27434,,,
Missouri,Lindenwood University,31900,,,
Missouri,Logan University,9000,,,
Missouri,Maryville University of Saint Louis,40466,,,
Missouri,Metropolitan Community College-Kansas City,9600,,,
Missouri,Midwestern Baptist Theological Seminary,20710,,,
Missouri,Mineral Area College,14090,,,
Missouri,Mission University,24490,,,
Missouri,Missouri Baptist University,47462,,,
Missouri,Missouri Southern State University,23972,,,
Missouri,Missouri State University-Springfield,28158,,,
Missouri,Missouri State University-West Plains,14744,,,
Missouri,Missouri University of Science and Technology,43440,,,
Missouri,Missouri Valley College,33500,,,
Missouri,Missouri Western State University,28475,,,
Missouri,Moberly Area Community College,15870,,,
Missouri,North Central Missouri College,15290,,,
Missouri,Northwest Missouri State University,28411,,,
Missouri,Ozark Christian College,24620,,,
Missouri,Ozarks Technical Community College,6872,,,
Missouri,Park University,25378,,,
Missouri,Ranken Technical College,26416,,,
Missouri,Rockhurst University,54960,,,
Missouri,Saint Louis Community College,6990,,,
Missouri,Saint Louis University,67814,,,
Missouri,Southeast Missouri Hospital College of Nursing and Health Sciences,11691,,,
Missouri,Southeast Missouri State University,20982,,,
Missouri,Southwest Baptist University,37272,,,
Missouri,St Charles Community College,5664,,,
Missouri,St. Louis Med Tech,10900,,,
Missouri,State Fair Community College,16580,,,
Missouri,State Technical College of Missouri,20950,,,
Missouri,Stephens College,41298,,,
Missouri,Stevens-The Institute of Business & Arts,12968,,,
Missouri,Texas County Technical College,19025,,,
Missouri,Three Rivers College,12894,,,
Missouri,Truman State University,28571,,,
Missouri,University of Central Missouri,28270,,,
Missouri,University of Health Sciences and Pharmacy in St. Louis,46920,,,
Missouri,University of Missouri-Columbia,47888,,,
Missouri,University of Missouri-Kansas City,40906,,,
Missouri,University of Missouri-St Louis,46536,,,
Missouri,Urshan College,12904,,,
Missouri,Washington University in St Louis,83760,,,
Missouri,Webster University,43550,,,
Missouri,Westminster College,46330,,,
Missouri,William Jewell College,31271,,,
Missouri,William Woods University,41262,,,
Montana,Blackfeet Community College,3610,,,
Montana,Carroll College,51976,,,
Montana,Chief Dull Knife College,2260,,,
Montana,Dawson Community College,17535,,,
Montana,Flathead Valley Community College,19835,,,
Montana,Fort Peck Community College,2250,,,
Montana,Great Falls College Montana State University,12229,,,
Montana,Helena College University of Montana,10687,,,
Montana,Highlands College of Montana Tech,21900,,,
Montana,Little Big Horn College,3200,,,
Montana,Miles Community College,19173,,,
Montana,Montana State University,44783,,,
Montana,Montana State University Billings,31147,,,
Montana,Montana State University-Northern,26411,,,
Montana,Montana Technological University,36260,,,
Montana,Rocky Mountain College,42828,,,
Montana,Salish Kootenai College,18603,,,
Montana,Stone Child College,3610,,,
Montana,The University of Montana,43814,,,
Montana,The University of Montana-Western,28142,,,
Montana,University of Providence,39518,,,
Nebraska,Bellevue University,19569,,,
Nebraska,Bryan College of Health Sciences,20070,,,
Nebraska,Central Community College,13052,,,
Nebraska,Chadron State College,17326,,,
Nebraska,Clarkson College,23032,,,
Nebraska,College of Saint Mary,31990,,,
Nebraska,Concordia University-Nebraska,49680,,,
Nebraska,Creighton University,59790,,,
Nebraska,Doane University,52106,,,
Nebraska,Hastings College,47820,,,
Nebraska,Little Priest Tribal College,13400,,,
Nebraska,Metropolitan Community College Area,4815,,,
Nebraska,Mid-Plains Community College,11842,,,
Nebraska,Midland University,50832,,,
Nebraska,Myotherapy Institute,16390,,,
Nebraska,Nebraska College of Technical Agriculture,14608,,,
Nebraska,Nebraska Indian Community College,4080,,,
Nebraska,Nebraska Methodist College of Nursing & Allied Health,29469,,,
Nebraska,Nebraska Wesleyan University,51640,,,
Nebraska,Northeast Community College,14767,,,
Nebraska,Peru State College,18296,,,
Nebraska,Southeast Community College Area,13116,,,
Nebraska,Summit Christian College,14645,,,
Nebraska,Union Adventist University,35990,,,
Nebraska,Universal College of Healing Arts,11822,,,
Nebraska,University of Nebraska at Kearney,26196,,,
Nebraska,University of Nebraska at Omaha,33968,,,
Nebraska,University of Nebraska-Lincoln,41604,,,
Nebraska,Wayne State College,17594,,,
Nebraska,Western Nebraska Community College,12234,,,
Nebraska,York University,31200,,,
Nevada,Arizona College of Nursing-Las Vegas,22426,,,
Nevada,Aviation Institute of Maintenance-Las Vegas,16757,,,
Nevada,Chamberlain University-Nevada,20462,,,
Nevada,College of Southern Nevada,12209,,,
Nevada,DeVry University-Nevada,17488,,,
Nevada,Great Basin College,19448,,,
Nevada,Las Vegas College,17684,,,
Nevada,Nevada State University,20449,,,
Nevada,Truckee Meadows Community College,11243,,,
Nevada,University of Nevada-Las Vegas,38170,,,
Nevada,University of Nevada-Reno,39650,,,
Nevada,Western Nevada College,12019,,,
New_Hampshire,Colby-Sawyer College,35258,,,
New_Hampshire,Dartmouth College,84748,,,
New_Hampshire,Franklin Pierce University,60875,,,
New_Hampshire,Great Bay Community College,15450,,,
New_Hampshire,Keene State College,40046,,,
New_Hampshire,Lakes Region Community College,26386,,,
New_Hampshire,Magdalen College,34500,,,
New_Hampshire,Manchester Community College,15340,,,
New_Hampshire,Nashua Community College,15390,,,
New_Hampshire,New England College,58592,,,
New_Hampshire,NHTI-Concord's Community College,26480,,,
New_Hampshire,Plymouth State University,37602,,,
New_Hampshire,River Valley Community College,15190,,,
New_Hampshire,Rivier University,52734,,,
New_Hampshire,Saint Anselm College,63330,,,
New_Hampshire,Southern New Hampshire University,29250,,,
New_Hampshire,St Joseph School of Nursing,22978,,,
New_Hampshire,Thomas More College of Liberal Arts,40300,,,
New_Hampshire,University of New Hampshire at Manchester,35530,,,
New_Hampshire,University of New Hampshire College of Professional Studies Online,9372,,,
New_Hampshire,University of New Hampshire-Main Campus,52196,,,
New_Hampshire,White Mountains Community College,15300,,,
New_Jersey,Rutgers University - New Brunswick,16263,#CC0033,#000000,
New_Jersey,Rutgers University - Newark,15648,#CC0033,#000000,
New_Jersey,Rutgers University - Camden,16112,#CC0033,#000000,
New_Jersey,Princeton University,57410,#E87722,#000000,
New_Jersey,New Jersey Institute of Technology,18496,#D2232A,#FFFFFF,
New_Jersey,Kean University,12972,#003A63,#FFFFFF,
New_Jersey,Montclair State University,14400,#CE1126,#FFFFFF,
New_Jersey,New Jersey City University,14963,#006633,#FFC72C,
New_Jersey,Rowan University,15952,#3C2415,#FFC425,
New_Jersey,Stockton University,14948,#00AEEF,#000000,
New_Jersey,Thomas Edison State University,11970,#7F1D2D,#6E6E6E,
New_Jersey,William Paterson University of New Jersey,15498,#FF6A13,#000000,
New_Jersey,Monmouth University,45000,#002A5C,#FFFFFF,
New_Jersey,Rider University,37700,#990033,#9FA1A3,
New_Jersey,Saint Peter's University,39890,#004B8D,#FFFFFF,
New_Jersey,Seton Hall University,49500,#00539B,#FFFFFF,
New_Jersey,Stevens Institute of Technology,58624,#C8102E,#5C6670,
New_Jersey,Drew University,42652,#0C3C26,#003A70,
New_Jersey,Fairleigh Dickinson University,49154,#8B2332,#003A70,
New_Jersey,Felician University,35600,#006633,#FFD100,
New_Jersey,Georgian Court University,35000,#0033A0,#FFD100,
New_Jersey,Caldwell University,38000,#C8102E,#FFD100,
New_Jersey,Centenary University,34498,#003A63,#FFFFFF,
New_Jersey,Saint Elizabeth University,35500,#003A70,#F2A900,
New_Mexico,Central New Mexico Community College,8366,,,
New_Mexico,Clovis Community College,3224,,,
New_Mexico,Eastern New Mexico University Ruidoso Branch Community College,2644,,,
New_Mexico,Eastern New Mexico University-Main Campus,17289,,,
New_Mexico,Eastern New Mexico University-Roswell Campus,5616,,,
New_Mexico,Institute of American Indian and Alaska Native Culture and Arts Development,18289,,,
New_Mexico,Luna Community College,3050,,,
New_Mexico,Mesalands Community College,3408,,,
New_Mexico,Navajo Technical University,12322,,,
New_Mexico,New Mexico Highlands University,21854,,,
New_Mexico,New Mexico Institute of Mining and Technology,35926,,,
New_Mexico,New Mexico Junior College,7720,,,
New_Mexico,New Mexico Military Institute,20573,,,
New_Mexico,New Mexico State University-Alamogordo,6072,,,
New_Mexico,New Mexico State University-Dona Ana,6360,,,
New_Mexico,New Mexico State University-Grants,4272,,,
New_Mexico,New Mexico State University-Main Campus,37297,,,
New_Mexico,Northern New Mexico College,14328,,,
New_Mexico,San Juan College,16423,,,
New_Mexico,Santa Fe Community College,4995,,,
New_Mexico,Southeast New Mexico College,4008,,,
New_Mexico,Southwestern Indian Polytechnic Institute,1770,,,
New_Mexico,St. John's College,54414,,,
New_Mexico,University of New Mexico-Gallup Campus,4843,,,
New_Mexico,University of New Mexico-Los Alamos Campus,5686,,,
New_Mexico,University of New Mexico-Main Campus,38334,,,
New_Mexico,University of New Mexico-Taos Campus,5004,,,
New_Mexico,University of New Mexico-Valencia County Campus,5130,,,
New_Mexico,University of the Southwest,24670,,,
New_Mexico,Western New Mexico University,25294,,,
New_York,Adelphi University,67318,,,
New_York,Albany College of Pharmacy and Health Sciences,52655,,,
New_York,Alfred University,53770,,,
New_York,American Academy McAllister Institute of Funeral Service,20018,,,
New_York,American Academy of Dramatic Arts-New York,59750,,,
New_York,American Musical and Dramatic Academy,61060,,,
New_York,Associated Beth Rivkah Schools,9700,,,
New_York,Bais Binyomin Academy,15750,,,
New_York,Bais Medrash Elyon,13200,,,
New_York,Bais Medrash of Dexter Park,11000,,,
New_York,Bard College,81652,,,
New_York,Barnard College,86828,,,
New_York,Be'er Yaakov Talmudic Seminary,16250,,,
New_York,Beis Medrash Heichal Dovid,14240,,,
New_York,Belanger School of Nursing,11928,,,
New_York,Berkeley College-New York,28600,,,
New_York,Bet Medrash Gadol Ateret Torah,14100,,,
New_York,Beth Hamedrash Shaarei Yosher Institute,15950,,,
New_York,Beth Medrash Meor Yitzchok,19400,,,
New_York,Binghamton University,47747,,,
New_York,Bnos Zion Of Bobov Seminary,9450,,,
New_York,Boricua College,12525,,,
New_York,Bryant & Stratton College-Albany,18892,,,
New_York,Bryant & Stratton College-Buffalo,19126,,,
New_York,Bryant & Stratton College-Greece,19593,,,
New_York,Bryant & Stratton College-Online,15891,,,
New_York,Bryant & Stratton College-Syracuse North,19310,,,
New_York,Canisius University,45880,,,
New_York,Cayuga County Community College,11598,,,
New_York,Cayuga Onondaga BOCES-Practical Nursing Program,13335,,,
New_York,Central Yeshiva Tomchei Tmimim Lubavitz,12000,,,
New_York,Circle in the Square Theatre School,24085,,,
New_York,Clarkson University,74966,,,
New_York,Clinton Community College,6831,,,
New_York,Colgate University,83814,,,
New_York,College of Staten Island CUNY,35975,,,
New_York,Columbia University in the City of New York,85845,,,
New_York,Columbia-Greene Community College,11160,,,
New_York,Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,27000,,,
New_York,Cornell University,84568,,,
New_York,Culinary Institute of America,52090,,,
New_York,CUNY Bernard M Baruch College,34098,,,
New_York,CUNY Borough of Manhattan Community College,8050,,,
New_York,CUNY Bronx Community College,8086,,,
New_York,CUNY Brooklyn College,15402,,,
New_York,CUNY City College,33394,,,
New_York,CUNY Graduate School and University Center,15360,,,
New_York,CUNY Hostos Community College,8088,,,
New_York,CUNY Hunter College,26656,,,
New_York,CUNY John Jay College of Criminal Justice,15420,,,
New_York,CUNY Kingsborough Community College,8132,,,
New_York,CUNY LaGuardia Community College,8098,,,
New_York,CUNY Lehman College,15360,,,
New_York,CUNY Medgar Evers College,15302,,,
New_York,CUNY New York City College of Technology,15282,,,
New_York,CUNY Queens College,31952,,,
New_York,CUNY Queensborough Community College,8090,,,
New_York,CUNY Stella and Charles Guttman Community College,8074,,,
New_York,CUNY York College,15308,,,
New_York,D'Youville  University,45360,,,
New_York,Daemen University,47664,,,
New_York,Davis College,25100,,,
New_York,Derech Hachaim Seminary,11000,,,
New_York,DeVry College of New York,17488,,,
New_York,Dominican University New York,49280,,,
New_York,Dutchess Community College,25406,,,
New_York,Elim Bible Institute and College,17880,,,
New_York,Elmira College,51922,,,
New_York,Elyon College,14620,,,
New_York,Empire State University,17540,,,
New_York,Erie Community College,11300,,,
New_York,Farmingdale State College,33032,,,
New_York,Fashion Institute of Technology,41373,,,
New_York,Finger Lakes Community College,23095,,,
New_York,Five Towns College,44400,,,
New_York,Fordham University,85067,,,
New_York,Fulton-Montgomery Community College,6654,,,
New_York,Genesee Community College,15800,,,
New_York,Hamilton College,82430,,,
New_York,Hartwick College,67496,,,
New_York,Helene Fuld College of Nursing,24648,,,
New_York,Herkimer County Community College,19074,,,
New_York,Hilbert College,46350,,,
New_York,Hobart William Smith Colleges,80602,,,
New_York,Hofstra University,73170,,,
New_York,Houghton University,28100,,,
New_York,Hudson Valley Community College,11750,,,
New_York,Iona University,64150,,,
New_York,Island Drafting and Technical Institute,19200,,,
New_York,Ithaca College,66540,,,
New_York,Jamestown Business College,12945,,,
New_York,Jamestown Community College,23480,,,
New_York,Jefferson Community College,20072,,,
New_York,Jefferson Lewis BOCES-Practical Nursing Program,18571,,,
New_York,Jewish Theological Seminary of America,83945,,,
New_York,Kehilath Yakov Rabbinical Seminary,16200,,,
New_York,Keuka College,51556,,,
New_York,Le Moyne College,54630,,,
New_York,LIM College,51606,,,
New_York,Long Island Business Institute,12000,,,
New_York,Long Island University,58996,,,
New_York,Machzikei Hadath Rabbinical College,14500,,,
New_York,Mandl School-The College of Allied Health,21200,,,
New_York,Manhattan College,69290,,,
New_York,Manhattan School of Music,71950,,,
New_York,Manhattanville College,58490,,,
New_York,Maria College of Albany,17680,,,
New_York,Marion S Whelan School of Nursing of Geneva General Hospital,11020,,,
New_York,Marist College,63850,,,
New_York,Marymount Manhattan College,60451,,,
New_York,Mechon L'hoyroa,11800,,,
New_York,Mercy University,36806,,,
New_York,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,15000,,,
New_York,Mesivta Torah Vodaath Rabbinical Seminary,19450,,,
New_York,Mesivtha Tifereth Jerusalem of America,17560,,,
New_York,Metropolitan College of New York,20188,,,
New_York,Miami Ad School-New York,19400,,,
New_York,Mildred Elley School-Albany Campus,15865,,,
New_York,Mildred Elley-New York Campus,17926,,,
New_York,Mirrer Yeshiva Cent Institute,15800,,,
New_York,Mohawk Valley Community College,21085,,,
New_York,Molloy College,55600,,,
New_York,Monroe College,29422,,,
New_York,Monroe Community College,19736,,,
New_York,Mount Saint Mary College,60190,,,
New_York,Nassau Community College,12130,,,
New_York,Nazareth University,56500,,,
New_York,Neighborhood Playhouse School of the Theater,18400,,,
New_York,New York Conservatory for Dramatic Arts,37200,,,
New_York,New York Institute of Technology,66196,,,
New_York,New York School of Interior Design,30330,,,
New_York,New York Seminary,16950,,,
New_York,New York University,83224,,,
New_York,Niagara County Community College,24982,,,
New_York,Niagara University,51115,,,
New_York,North Country Community College,22530,,,
New_York,Ohel Margulia Seminary,9500,,,
New_York,Ohr Hameir Theological Seminary,14500,,,
New_York,Onondaga Community College,22590,,,
New_York,Orange County Community College,12046,,,
New_York,Pace University,73214,,,
New_York,Pacific College of Health and Science,11234,,,
New_York,Paul Smiths College of Arts and Science,48155,,,
New_York,Plaza College,15450,,,
New_York,Pomeroy College of Nursing at Crouse Hospital,19228,,,
New_York,Pratt Institute-Main,76393,,,
New_York,Rabbinical Academy Mesivta Rabbi Chaim Berlin,14100,,,
New_York,Rabbinical College Beth Shraga,22850,,,
New_York,Rabbinical College Bobover Yeshiva Bnei Zion,15800,,,
New_York,Rabbinical College of Long Island,15300,,,
New_York,Rabbinical College of Ohr Shimon Yisroel,24550,,,
New_York,Rabbinical College Ohr Yisroel,13000,,,
New_York,Rabbinical Seminary of America,16400,,,
New_York,Rensselaer Polytechnic Institute,79414,,,
New_York,Roberts Wesleyan University,50500,,,
New_York,Rochester Institute of Technology,72532,,,
New_York,Rockland Community College,11920,,,
New_York,Russell Sage College,50547,,,
New_York,Saint Elizabeth College of Nursing,30000,,,
New_York,Samaritan Hospital School of Nursing,14671,,,
New_York,Sarah Lawrence College,81224,,,
New_York,Schenectady County Community College,8636,,,
New_York,School of Professional Horticulture  New York Botanical Garden,8750,,,
New_York,School of Visual Arts,73340,,,
New_York,Seminar L'moros Bais Yaakov,11500,,,
New_York,Sh'or Yoshuv Rabbinical College,20200,,,
New_York,Siena College,61105,,,
New_York,Skidmore College,82370,,,
New_York,St Bonaventure University,55150,,,
New_York,St Lawrence University,80350,,,
New_York,St Paul's School of Nursing-Queens,17556,,,
New_York,St Paul's School of Nursing-Staten Island,17525,,,
New_York,St. Francis College,45570,,,
New_York,St. John Fisher University,54008,,,
New_York,St. John's University-New York,70036,,,
New_York,St. Joseph's College of Nursing,29806,,,
New_York,St. Joseph's University-New York,34535,,,
New_York,St. Peter's Hospital College of Nursing,14756,,,
New_York,St. Thomas Aquinas College,54000,,,
New_York,State University of New York at Cortland,33935,,,
New_York,State University of New York at New Paltz,34330,,,
New_York,State University of New York at Oswego,34119,,,
New_York,Stony Brook University,48012,,,
New_York,Suffolk County Community College,12080,,,
New_York,Sullivan County Community College,23760,,,
New_York,SUNY Adirondack,23206,,,
New_York,SUNY at Fredonia,34021,,,
New_York,SUNY at Purchase College,34263,,,
New_York,SUNY Brockport,31708,,,
New_York,SUNY Broome Community College,27392,,,
New_York,SUNY Buffalo State University,35622,,,
New_York,SUNY College at Geneseo,34586,,,
New_York,SUNY College at Plattsburgh,35361,,,
New_York,SUNY College at Potsdam,33706,,,
New_York,SUNY College of Agriculture and Technology at Cobleskill,34836,,,
New_York,SUNY College of Environmental Science and Forestry,38816,,,
New_York,SUNY College of Technology at Alfred,30547,,,
New_York,SUNY College of Technology at Canton,30219,,,
New_York,SUNY College of Technology at Delhi,27070,,,
New_York,SUNY Corning Community College,19490,,,
New_York,SUNY Maritime College,34596,,,
New_York,SUNY Morrisville,35229,,,
New_York,SUNY Old Westbury,31729,,,
New_York,SUNY Oneonta,35042,,,
New_York,SUNY Polytechnic Institute,34978,,,
New_York,SUNY Westchester Community College,12486,,,
New_York,Swedish Institute a College of Health Sciences,26041,,,
New_York,Syracuse University,81505,,,
New_York,Talmudical Institute of Upstate New York,10550,,,
New_York,Talmudical Seminary of Bobov,20200,,,
New_York,Talmudical Seminary Oholei Torah,14000,,,
New_York,The Ailey School,26473,,,
New_York,The College of Saint Rose,51846,,,
New_York,The College of Westchester,24705,,,
New_York,The Cooper Union for the Advancement of Science and Art,65470,,,
New_York,The Juilliard School,77890,,,
New_York,The New School,86260,,,
New_York,Tompkins Cortland Community College,24361,,,
New_York,Torah Temimah Talmudical Seminary,13800,,,
New_York,Touro University,37730,,,
New_York,Trocaire College,19820,,,
New_York,Ulster County Community College,11656,,,
New_York,Union College,82845,,,
New_York,United States Merchant Marine Academy,945,,,
New_York,United Talmudical Seminary,18133,,,
New_York,University at Albany,45180,,,
New_York,University at Buffalo,47326,,,
New_York,University of Mount Saint Vincent,57040,,,
New_York,University of Rochester,83272,,,
New_York,Uta Mesivta of Kiryas Joel,18200,,,
New_York,Utica University,37388,,,
New_York,Vassar College,85220,,,
New_York,Vaughn College of Aeronautics and Technology,43030,,,
New_York,Veeb Nassau County School of Practical Nursing,20230,,,
New_York,Villa Maria College,28670,,,
New_York,Wagner College,67600,,,
New_York,Webb Institute,75750,,,
New_York,Wells College,50116,,,
New_York,Word of Life Bible Institute,21500,,,
New_York,Yeshiva D'monsey Rabbinical College,14300,,,
New_York,Yeshiva Derech Chaim,17500,,,
New_York,Yeshiva Gedolah Imrei Yosef D'spinka,11500,,,
New_York,Yeshiva Gedolah Kesser Torah,12600,,,
New_York,Yeshiva Karlin Stolin,17600,,,
New_York,Yeshiva Kollel Tifereth Elizer,16900,,,
New_York,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,14850,,,
New_York,Yeshiva of Kasho,16500,,,
New_York,Yeshiva of Machzikai Hadas,10800,,,
New_York,Yeshiva of Nitra Rabbinical College,20750,,,
New_York,Yeshiva of Ocean,11000,,,
New_York,Yeshiva of the Telshe Alumni,14200,,,
New_York,Yeshiva Ohr Naftoli,15400,,,
New_York,Yeshiva Ohr Yisrael,15100,,,
New_York,Yeshiva Shaar Ephraim,22375,,,
New_York,Yeshiva Shaarei Torah of Rockland,16480,,,
New_York,Yeshiva Sholom Shachna,15450,,,
New_York,Yeshiva University,64900,,,
New_York,Yeshiva Yesoda Hatorah Vetz Chaim,25300,,,
New_York,Yeshiva Zichron Aryeh,16500,,,
New_York,Yeshivas Novominsk,11580,,,
New_York,Yeshivas Sanz Klauzenburg,17500,,,
New_York,Yeshivat Hechal Shemuel,12380,,,
New_York,Yeshivath Shaar Hatorah,21500,,,
New_York,Yeshivath Viznitz,14100,,,
New_York,Yeshivath Zichron Moshe,14140,,,
North_Carolina,Alamance Community College,8642,,,
North_Carolina,Appalachian State University,36795,,,
North_Carolina,Asheville-Buncombe Technical Community College,9026,,,
North_Carolina,Aviation Institute of Maintenance-Charlotte,16657,,,
North_Carolina,Barton College,48650,,,
North_Carolina,Beaufort County Community College,8684,,,
North_Carolina,Belmont Abbey College,31556,,,
North_Carolina,Bennett College,28944,,,
North_Carolina,Bladen Community College,8702,,,
North_Carolina,Blue Ridge Community College,8804,,,
North_Carolina,Brevard College,44650,,,
North_Carolina,Brunswick Community College,8676,,,
North_Carolina,Cabarrus College of Health Sciences,16070,,,
North_Carolina,Caldwell Community College and Technical Institute,8681,,,
North_Carolina,Campbell University,55610,,,
North_Carolina,Cape Fear Community College,8892,,,
North_Carolina,Carolina Christian College,15820,,,
North_Carolina,Carolina College of Biblical Studies,6276,,,
North_Carolina,Carolina University,28400,,,
North_Carolina,Carolinas College of Health Sciences,19095,,,
North_Carolina,Carteret Community College,7954,,,
North_Carolina,Catawba College,45950,,,
North_Carolina,Catawba Valley Community College,7743,,,
North_Carolina,Central Carolina Community College,8698,,,
North_Carolina,Central Piedmont Community College,8936,,,
North_Carolina,Chamberlain University-North Carolina,19686,,,
